ID,JSON Key,Content Group,Context,Canonical Unit,English Source,Current Kannada,Claude Suggested Kannada,Reviewer Corrected Kannada,Status,Issue Types,Do Not Translate,Official Facts,Reviewer Notes,Source File,Source Line/Location
11,institution_overview.additional_details.infrastructure[4],Institution Overview,List item,,Active student clubs and cultural facilities [cite: 27],ಸಕ್ರಿಯ ವಿದ್ಯಾರ್ಥಿ ಕ್ಲಬ್‌ಗಳು ಮತ್ತು ಸಾಂಸ್ಕೃತಿಕ ಸೌಲಭ್ಯಗಳು,ಸಕ್ರಿಯ ವಿದ್ಯಾರ್ಥಿ ಕ್ಲಬ್‌ಗಳು ಮತ್ತು ಸಾಂಸ್ಕೃತಿಕ ಸೌಲಭ್ಯಗಳು,,Needs Native Review,Citation markers in English source,,"Numbers, names and titles must remain unchanged",,kn.json / en.json,en:15 kn:15 | institution_overview.additional_details.infrastructure[4]
12,institution_overview.additional_details.infrastructure[5],Institution Overview,List item,,Co-curricular event spaces [cite: 28],ಸಹಪಠ್ಯ ಚಟುವಟಿಕೆಗಳ ಸ್ಥಳಗಳು,ಸಹಪಠ್ಯ ಚಟುವಟಿಕೆಗಳ ಸ್ಥಳಗಳು,,Needs Native Review,Citation markers in English source,,"Numbers, names and titles must remain unchanged",,kn.json / en.json,en:16 kn:16 | institution_overview.additional_details.infrastructure[5]
13,institution_overview.additional_details.infrastructure[6],Institution Overview,List item,,Industry collaboration centers [cite: 29],ಉದ್ಯಮ ಸಹಯೋಗ ಕೇಂದ್ರಗಳು,ಉದ್ಯಮ ಸಹಯೋಗ ಕೇಂದ್ರಗಳು,,Needs Native Review,Citation markers in English source,,"Numbers, names and titles must remain unchanged",,kn.json / en.json,en:17 kn:17 | institution_overview.additional_details.infrastructure[6]
14,institution_overview.additional_details.infrastructure[7],Institution Overview,List item,,Research centers and centers of excellence [cite: 30],ಸಂಶೋಧನಾ ಕೇಂದ್ರಗಳು ಮತ್ತು ಉತ್ಕೃಷ್ಟತಾ ಕೇಂದ್ರಗಳು,ಸಂಶೋಧನಾ ಕೇಂದ್ರಗಳು ಮತ್ತು ಉತ್ಕೃಷ್ಟತಾ ಕೇಂದ್ರಗಳು,,Needs Native Review,Citation markers in English source,,"Numbers, names and titles must remain unchanged",,kn.json / en.json,en:18 kn:18 | institution_overview.additional_details.infrastructure[7]
15,institution_overview.additional_details.core_values[0],Institution Overview,List item,,Ethics in Engineering - Promoting ethical practices and responsible development [cite: 98],ಎಂಜಿನಿಯರಿಂಗ್‌ನಲ್ಲಿ ನೈತಿಕತೆ — ನೈತಿಕ ಅಭ್ಯಾಸಗಳು ಮತ್ತು ಜವಾಬ್ದಾರ ಅಭಿವೃದ್ಧಿಯನ್ನು ಉತ್ತೇಜಿಸುವುದು,ಎಂಜಿನಿಯರಿಂಗ್‌ನಲ್ಲಿ ನೈತಿಕತೆ — ನೈತಿಕ ಅಭ್ಯಾಸಗಳು ಮತ್ತು ಜವಾಬ್ದಾರ ಅಭಿವೃದ್ಧಿಯನ್ನು ಉತ್ತೇಜಿಸುವುದು,,Needs Native Review,Citation markers in English source,,"Numbers, names and titles must remain unchanged",,kn.json / en.json,en:21 kn:21 | institution_overview.additional_details.core_values[0]
16,institution_overview.additional_details.core_values[1],Institution Overview,List item,,Quality & Excellence - Commitment to academic and operational excellence [cite: 99],ಗುಣಮಟ್ಟ ಮತ್ತು ಉತ್ಕೃಷ್ಟತೆ — ಶೈಕ್ಷಣಿಕ ಮತ್ತು ಕಾರ್ಯಾಚರಣಾ ಉತ್ಕೃಷ್ಟತೆಗೆ ಬದ್ಧತೆ,ಗುಣಮಟ್ಟ ಮತ್ತು ಉತ್ಕೃಷ್ಟತೆ — ಶೈಕ್ಷಣಿಕ ಮತ್ತು ಕಾರ್ಯಾಚರಣಾ ಉತ್ಕೃಷ್ಟತೆಗೆ ಬದ್ಧತೆ,,Needs Native Review,Citation markers in English source,,"Numbers, names and titles must remain unchanged",,kn.json / en.json,en:22 kn:22 | institution_overview.additional_details.core_values[1]
17,institution_overview.additional_details.core_values[2],Institution Overview,List item,,Research & Innovation - Fostering a culture of continuous research and innovation [cite: 100],ಸಂಶೋಧನೆ ಮತ್ತು ನಾವೀನ್ಯತೆ — ನಿರಂತರ ಸಂಶೋಧನೆ ಮತ್ತು ನಾವೀನ್ಯತೆಯ ಸಂಸ್ಕೃತಿಯನ್ನು ಬೆಳೆಸುವುದು,ಸಂಶೋಧನೆ ಮತ್ತು ನಾವೀನ್ಯತೆ — ನಿರಂತರ ಸಂಶೋಧನೆ ಮತ್ತು ನಾವೀನ್ಯತೆಯ ಸಂಸ್ಕೃತಿಯನ್ನು ಬೆಳೆಸುವುದು,,Needs Native Review,Citation markers in English source,,"Numbers, names and titles must remain unchanged",,kn.json / en.json,en:23 kn:23 | institution_overview.additional_details.core_values[2]
18,leadership[0].role,Leadership,Name/title,,Principal,Principal,Principal,,Needs Native Review,Exact English fallback (untranslated); English-only value (no Kannada),,,,kn.json / en.json,en:- kn:- | leadership[0].role
19,leadership[0].name,Leadership,Display sentence,,Dr. Manjunath TN [cite: 42],ಡಾ. ಮಂಜುನಾಥ್ ಟಿ ಎನ್,ಡಾ. ಮಂಜುನಾಥ್ ಟಿ ಎನ್,,Do Not Translate,Citation markers in English source,,"Numbers, names and titles must remain unchanged",,kn.json / en.json,en:30 kn:30 | leadership[0].name
20,leadership[1].role,Leadership,Name/title,,Vice Principal,Vice Principal,Vice Principal,,Needs Native Review,Exact English fallback (untranslated); English-only value (no Kannada),,,,kn.json / en.json,en:33 kn:33 | leadership[1].role
21,leadership[1].name,Leadership,Display sentence,,Dr Lakshminarayanachari K [cite: 44],ಡಾ. ಲಕ್ಷ್ಮೀನಾರಾಯಣಾಚಾರಿ ಕೆ,ಡಾ. ಲಕ್ಷ್ಮೀನಾರಾಯಣಾಚಾರಿ ಕೆ,,Do Not Translate,Citation markers in English source,,"Numbers, names and titles must remain unchanged",,kn.json / en.json,en:34 kn:34 | leadership[1].name
22,leadership[2].role,Leadership,Name/title,,Founder/Chancellor,Founder/Chancellor,Founder/Chancellor,,Needs Native Review,Exact English fallback (untranslated); English-only value (no Kannada),,,,kn.json / en.json,en:37 kn:37 | leadership[2].role
23,leadership[2].name,Leadership,Display sentence,,Founder/Chancellor: Prof. M. R. Holla - Distinguished academician and administrator with 50+ years of academic and administrative experience [cite: 33],ಸ್ಥಾಪಕ/ಕುಲಾಧಿಪತಿ: ಪ್ರೊ. ಎಂ. ಆರ್. ಹೊಳ್ಳ — 50+ ವರ್ಷಗಳ ಶೈಕ್ಷಣಿಕ ಮತ್ತು ಆಡಳಿತಾತ್ಮಕ ಅನುಭವದ ಪ್ರಖ್ಯಾತ ಶಿಕ್ಷಣತಜ್ಞ ಮತ್ತು ಆಡಳಿತಗಾರ,ಸ್ಥಾಪಕ/ಕುಲಾಧಿಪತಿ: ಪ್ರೊ. ಎಂ. ಆರ್. ಹೊಳ್ಳ — 50+ ವರ್ಷಗಳ ಶೈಕ್ಷಣಿಕ ಮತ್ತು ಆಡಳಿತಾತ್ಮಕ ಅನುಭವದ ಪ್ರಖ್ಯಾತ ಶಿಕ್ಷಣತಜ್ಞ ಮತ್ತು ಆಡಳಿತಗಾರ,,Do Not Translate,Citation markers in English source; Possibly missing terminal punctuation,,"Numbers, names and titles must remain unchanged",,kn.json / en.json,en:38 kn:38 | leadership[2].name
24,leadership[3].role,Leadership,Name/title,,Dean 1,Dean 1,Dean 1,,Needs Native Review,Exact English fallback (untranslated); English-only value (no Kannada),,,,kn.json / en.json,en:- kn:- | leadership[3].role
25,leadership[3].name,Leadership,Display sentence,,"Dr Y Jayasimha - Dean Academics [cite: 46, 47]",ಡಾ. ವೈ ಜಯಸಿಂಹ — ಡೀನ್ ಅಕಾಡೆಮಿಕ್ಸ್,ಡಾ. ವೈ ಜಯಸಿಂಹ — ಡೀನ್ ಅಕಾಡೆಮಿಕ್ಸ್,,Do Not Translate,Citation markers in English source,,"Numbers, names and titles must remain unchanged",,kn.json / en.json,en:42 kn:42 | leadership[3].name
26,leadership[4].role,Leadership,Name/title,,Dean 2,Dean 2,Dean 2,,Needs Native Review,Exact English fallback (untranslated); English-only value (no Kannada),,,,kn.json / en.json,en:- kn:- | leadership[4].role
27,leadership[4].name,Leadership,Display sentence,,Prof R C Shanmukhaswamy - Dean Administration [cite: 48],ಪ್ರೊ. ಆರ್ ಸಿ ಷಣ್ಮುಖಸ್ವಾಮಿ — ಡೀನ್ ಆಡಳಿತ,ಪ್ರೊ. ಆರ್ ಸಿ ಷಣ್ಮುಖಸ್ವಾಮಿ — ಡೀನ್ ಆಡಳಿತ,,Do Not Translate,Citation markers in English source,,"Numbers, names and titles must remain unchanged",,kn.json / en.json,en:46 kn:46 | leadership[4].name
28,leadership[5].role,Leadership,Name/title,,Dean 3,Dean 3,Dean 3,,Needs Native Review,Exact English fallback (untranslated); English-only value (no Kannada),,,,kn.json / en.json,en:- kn:- | leadership[5].role
29,leadership[5].name,Leadership,Display sentence,,Dr A M Padma Reddy - Dean Student Affairs [cite: 49],ಡಾ. ಎ ಎಂ ಪದ್ಮಾ ರೆಡ್ಡಿ — ಡೀನ್ ವಿದ್ಯಾರ್ಥಿ ವ್ಯವಹಾರಗಳು,ಡಾ. ಎ ಎಂ ಪದ್ಮಾ ರೆಡ್ಡಿ — ಡೀನ್ ವಿದ್ಯಾರ್ಥಿ ವ್ಯವಹಾರಗಳು,,Do Not Translate,Citation markers in English source,,"Numbers, names and titles must remain unchanged",,kn.json / en.json,en:50 kn:50 | leadership[5].name
30,leadership[6].role,Leadership,Name/title,,Dean 4,Dean 4,Dean 4,,Needs Native Review,Exact English fallback (untranslated); English-only value (no Kannada),,,,kn.json / en.json,en:- kn:- | leadership[6].role
31,leadership[6].name,Leadership,Display sentence,,Dr Shantha Kumar B Patil - Associate Dean R&D [cite: 50],ಡಾ. ಶಾಂತ ಕುಮಾರ್ ಬಿ ಪಾಟೀಲ್ — ಸಹಯೋಗಿ ಡೀನ್ ಆರ್ & ಡಿ,ಡಾ. ಶಾಂತ ಕುಮಾರ್ ಬಿ ಪಾಟೀಲ್ — ಸಹಯೋಗಿ ಡೀನ್ ಆರ್ & ಡಿ,,Do Not Translate,Citation markers in English source,,"Numbers, names and titles must remain unchanged",,kn.json / en.json,en:54 kn:54 | leadership[6].name
32,leadership[7].role,Leadership,Name/title,,Leadership Member 1,Leadership Member 1,Leadership Member 1,,Needs Native Review,Exact English fallback (untranslated); English-only value (no Kannada),,,,kn.json / en.json,en:57 kn:57 | leadership[7].role
33,leadership[7].name,Leadership,Display sentence,,"Dr. Y. Jayasimha - Eminent Electronics Professor, Dean (Academics) & Founder Trustee [cite: 35]","ಡಾ. ವೈ. ಜಯಸಿಂಹ — ಪ್ರಖ್ಯಾತ ಎಲೆಕ್ಟ್ರಾನಿಕ್ಸ್ ಪ್ರಾಧ್ಯಾಪಕರು, ಡೀನ್ (ಅಕಾಡೆಮಿಕ್ಸ್) ಮತ್ತು ಸ್ಥಾಪಕ ಟ್ರಸ್ಟಿ","ಡಾ. ವೈ. ಜಯಸಿಂಹ — ಪ್ರಖ್ಯಾತ ಎಲೆಕ್ಟ್ರಾನಿಕ್ಸ್ ಪ್ರಾಧ್ಯಾಪಕರು, ಡೀನ್ (ಅಕಾಡೆಮಿಕ್ಸ್) ಮತ್ತು ಸ್ಥಾಪಕ ಟ್ರಸ್ಟಿ",,Do Not Translate,Citation markers in English source; Possibly missing terminal punctuation,,"Numbers, names and titles must remain unchanged",,kn.json / en.json,en:58 kn:58 | leadership[7].name
34,leadership[8].role,Leadership,Name/title,,Leadership Member 2,Leadership Member 2,Leadership Member 2,,Needs Native Review,Exact English fallback (untranslated); English-only value (no Kannada),,,,kn.json / en.json,en:61 kn:61 | leadership[8].role
35,leadership[8].name,Leadership,Display sentence,,Prof. R. C. Shanmukha Swamy - Eminent Electrical Professor [cite: 36],ಪ್ರೊ. ಆರ್. ಸಿ. ಷಣ್ಮುಖ ಸ್ವಾಮಿ — ಪ್ರಖ್ಯಾತ ಎಲೆಕ್ಟ್ರಿಕಲ್ ಪ್ರಾಧ್ಯಾಪಕರು,ಪ್ರೊ. ಆರ್. ಸಿ. ಷಣ್ಮುಖ ಸ್ವಾಮಿ — ಪ್ರಖ್ಯಾತ ಎಲೆಕ್ಟ್ರಿಕಲ್ ಪ್ರಾಧ್ಯಾಪಕರು,,Do Not Translate,Citation markers in English source; Possibly missing terminal punctuation,,"Numbers, names and titles must remain unchanged",,kn.json / en.json,en:62 kn:62 | leadership[8].name
36,leadership[9].role,Leadership,Name/title,,Leadership Member 3,Leadership Member 3,Leadership Member 3,,Needs Native Review,Exact English fallback (untranslated); English-only value (no Kannada),,,,kn.json / en.json,en:65 kn:65 | leadership[9].role
37,leadership[9].name,Leadership,Display sentence,,Dr. A. M. Padma Reddy - Eminent Computer Science Professor [cite: 37],ಡಾ. ಎ. ಎಂ. ಪದ್ಮಾ ರೆಡ್ಡಿ — ಪ್ರಖ್ಯಾತ ಕಂಪ್ಯೂಟರ್ ಸೈನ್ಸ್ ಪ್ರಾಧ್ಯಾಪಕರು,ಡಾ. ಎ. ಎಂ. ಪದ್ಮಾ ರೆಡ್ಡಿ — ಪ್ರಖ್ಯಾತ ಕಂಪ್ಯೂಟರ್ ಸೈನ್ಸ್ ಪ್ರಾಧ್ಯಾಪಕರು,,Do Not Translate,Citation markers in English source; Possibly missing terminal punctuation,,"Numbers, names and titles must remain unchanged",,kn.json / en.json,en:66 kn:66 | leadership[9].name
38,leadership[10].role,Leadership,Name/title,,Leadership Member 4,Leadership Member 4,Leadership Member 4,,Needs Native Review,Exact English fallback (untranslated); English-only value (no Kannada),,,,kn.json / en.json,en:69 kn:69 | leadership[10].role
